"","V1","V2"
"1",3000031,NA
"2",3000047,NA
"3",3000207,NA
"4",3000223,NA
"5",3000341,NA
"6",3000353,NA
"7",3000381,NA
"8",3000399,NA
"9",3000441,NA
"10",3000457,NA
"11",3000469,74.0503238623445
"12",3000472,74.5827105744414
"13",3000575,75.2559402398813
"14",3000587,76.1776270563571
"15",3000615,76.2018484871125
"16",3000633,74.2453734647963
"17",3000675,70.7063096633637
"18",3000706,68.9051988599543
"19",3000761,69.3081943367382
"20",3000851,69.7634667005563
"21",3000867,69.9376529336506
"22",3000985,70.0094479715494
"23",3000997,69.8193777411511
"24",3001025,69.7262558391464
"25",3001043,69.6825442691526
"26",3001062,69.7641109185546
"27",3001085,69.643572469658
"28",3001219,69.4050953625001
"29",3001277,68.7420470974516
"30",3001319,66.6316998392198
"31",3001335,64.8865233203364
"32",3001453,64.32525484743
"33",3001465,63.9751598258286
"34",3001493,62.1002255289496
"35",3001511,60.2274114315592
"36",3001552,61.4972527014005
"37",3001686,64.3925518466996
"38",3001698,65.865757968743
"39",3001726,65.6364754030035
"40",3001736,65.3292858605199
"41",3001744,65.2891624037297
"42",3001786,65.490477303104
"43",3001802,65.1854950776129
"44",3001900,64.0890744959574
"45",3001960,62.7553894310224
"46",3001978,62.3706405363001
"47",3002036,62.4076364080053
"48",3002051,61.9728939116957
"49",3002154,61.8094667138935
"50",3002212,64.4688417138935
"51",3002254,67.4289446739965
"52",3002270,68.6280413447912
"53",3002428,68.6296964258902
"54",3002488,70.0017327962974
"55",3002604,71.5555522407418
"56",3002738,71.8928538280434
"57",3002750,73.3626340478236
"58",3002778,74.3949834813358
"59",3002796,75.3242660470753
"60",3002837,76.2375161956196
"61",3002971,77.0769101350135
"62",3002983,77.8161958492992
"63",3003011,78.750719658823
"64",3003029,78.9709577540611
"65",3003071,78.8989880570914
"66",3003087,79.3864155232423
"67",3003185,80.2797679102435
"68",3003245,81.7922945626955
"69",3003263,82.6379712544248
"70",3003321,81.871252988171
"71",3003336,79.7689931653229
"72",3003439,78.5698964945281
"73",3003497,79.2963115888677
"74",3003539,79.6708639124177
"75",3003731,80.3061979071267
"76",3003906,80.0561979071267
"77",3003949,77.8977157642696
"78",3003965,76.4654240976029
"79",3004083,76.0487574309362
"80",3004123,76.276030158209
"81",3004183,76.6033028854817
"82",3004199,76.676517171196
"83",3004214,76.6704353906577
"84",3004257,78.0973893244051
"85",3004317,78.3369726577384
"86",3004319,77.452357273123
"87",3004357,76.6629799837457
"88",3004417,73.0915514123172
"89",3004447,70.4994461491593
"90",3004502,70.9444252849783
"91",3004550,72.2850811125268
"92",3004562,71.4219858744315
"93",3004590,69.7553192077649
"94",3004608,67.903467355913
"95",3004650,66.408758361204
"96",3004666,68.2659012183469
"97",3004681,69.9119610009556
"98",3004744,70.1506133761569
"99",3004784,69.7432059687494
"100",3004796,68.6182059687494
"101",3004824,67.1598726354161
"102",3004884,66.6390393020828
"103",3005118,67.1689306064306
"104",3005381,67.3550719107784
"105",3005543,68.562952345561
"106",3005555,69.7455216943708
"107",3005661,68.4074480033559
"108",3005701,69.0009353983139
"109",3005719,70.7687925411711
"110",3005761,70.7250554811297
"111",3005777,71.0801279448978
"112",3005789,72.3241755639454
"113",3005792,72.2140565163263
"114",3005847,73.1753660401359
"115",3005937,74.2616755639454
"116",3005953,73.3241755639454
"117",3005993,72.9437407813367
"118",3006071,72.668081827188
"119",3006111,72.6829700151986
"120",3006129,72.3616008932677
"121",3006305,72.4371369556459
"122",3006363,71.6864621918132
"123",3006405,70.0984668538179
"124",3006421,70.0681638235149
"125",3006551,70.0790333887323
"126",3006597,69.1690104590206
"127",3006654,70.4899480294511
"128",3006772,72.0797510677835
"129",3006784,72.2293113423438
"130",3006812,72.7392319772645
"131",3006830,73.0885909516234
"132",3006872,71.4439023069348
"133",3006888,70.8229607484932
"134",3007047,72.08157101078
"135",3007109,72.5246732516763
"136",3007125,72.3900669898167
"137",3007140,72.4061960220748
"138",3007301,73.5421609343555
"139",3007362,74.7680134870857
"140",3007402,76.2143826090166
"141",3007420,76.3471798799717
"142",3007462,76.6811879771377
"143",3007595,75.7691833151331
"144",3007607,73.4423434882932
"145",3007635,73.501867297817
"146",3007653,74.780602930001
"147",3007694,73.7537830066293
"148",3007828,72.6419211447674
"149",3007840,73.97450372735
"150",3007886,74.5300592829056
"151",3007928,74.5140336418799
"152",3008120,76.0694365722829
"153",3008295,77.5578231856695
"154",3008472,77.857134168804
"155",3008512,78.341611292987
"156",3008572,78.5109397770688
"157",3008588,79.3281440781441
"158",3009073,79.5424297924298
"159",3009232,78.5900488400489
"160",3009294,77.5003052503053
"161",3009310,77.243894993895
"162",3009325,77.2759462759463
"163",3009486,79.0579975579976
"164",3009547,81.004884004884
"165",3009587,81.6184371184371
"166",3009605,82.4517704517705
"167",3009647,84.9517704517705
"168",3009780,86.6184371184371
"169",3009792,83.2851037851038
"170",3009820,79.9517704517705
"171",3009880,79.3267704517705
"172",3010014,80.4636752136752
"173",3010026,80.6230158730159
"174",3010054,79.3537851037851
"175",3010072,78.5065628815629
"176",3010247,77.1871184371184
"177",3010259,76.2148962148962
"178",3010287,76.6315628815629
"179",3010297,76.6613247863248
"180",3010305,76.6697191697192
"181",3010347,76.3983516483516
"182",3010363,75.282967032967
"183",3010521,72.6675824175824
"184",3010612,71.0778388278388
"185",3010890,70.8735119047619
"186",3010930,68.8422619047619
"187",3011182,66.3422619047619
"188",3011533,63.4255952380952
"189",3011573,64.0505952380952
"190",3011591,66.4438879210221
